LOC;Oco
Portugal;54
Braga;40
em Portugal;39
Galiza;37
Guimarães;33
Universidade de o Minho;30
UMinho;30
Lisboa;24
Azurém;24
EUA;23
Angola;18
Brasil;17
Europa;15
Gualtar;12
Reitoria;11
Minho;10
AFUM;10
Reino Unido;10
Espanha;9
Largo de o Paço;8
Moçambique;8
Universidade;8
Escola;8
Via Láctea;7
França;7
Porto;6
Norte;6
Itália;6
África;6
NIG;6
Inglaterra;5
Orquestra de o UMinho;5
Instituto de Ciências Sociais;5
Viena;5
Universidade de Lourenço Marques;5
Alemanha;5
Winwel;5
Guisado;4
Universidade de o Porto;4
Santiago de Compostela;4
Japão;4
Palácio Vila Flor;4
Cabo Verde;4
Austrália;4
Instituto de Educação;4
Fundação Calouste Gulbenkian;4
Ucrânia;4
Ciências Sociais;4
Algarve;4
Canadá;4
CECS;4
Comunicação;4
Áustria;4
Consello de o Cultura Galega;3
Pazos;3
Educação;3
Vila de o Conde;3
Biblioteca Pública;3
Museu Nogueira de o Silva;3
Biblioteca Lúcio Craveiro de o Silva;3
Instituto de Educação e Psicologia;3
China;3
GPI;3
Lourenço Marques;3
UNL;3
Universidade de Coimbra;3
Centro de Investigação;3
University College London;3
América Latina;3
Centro Cultural Vila Flor;3
Lyon;3
Ásia;3
Ciências Sociais e Humanas;3
Felgueiras;3
ISET;3
Suíça;3
Centro;3
Universidades;3
Centro de Informática;3
SUDOE;3
Consello de Cultura Galega;2
Redondela;2
Filologia Portuguesa;2
Universidade de Santiago de Compostela;2
CE;2
INL;2
Sul;2
Norte de Portugal;2
Galego;2
Rádio Universitária de o Minho;2
Lugo;2
Governo;2
Melgaço;2
Sesimbra;2
Arquivo Distrital;2
Instituto Confúcio;2
Paço de o Duques;2
Torres Vedras;2
Edifício de o Congregados;2
Luanda;2
Gabinete;2
Coimbra;2
Círculo;2
Ministério de o Educação;2
Olhe;2
Rua de o Souto;2
Bom Jesus;2
Aveiro;2
Estudos Gerais Universitários de Moçambique;2
Estrasburgo;2
Manchester;2
Fundação;2
Londres;2
Fundação Carlos Lloyd Braga;2
Nova Zelândia;2
Cátedra Lloyd Braga;2
Palácio de Vila Flor;2
ICVS;2
Vaticano;2
Buenos Aires;2
professora;2
Barcelos;2
Universidade de o Beira Interior;2
Turquia;2
Grécia;2
Vila Flor;2
Centro Avançado de Formação Pós-Graduada;2
Teatro;2
Ovar;2
Silicon Valley;2
Montanhas Rochosas;2
Marte;2
Olinda Oliveira;2
Gabinete de Carreiras;2
Euronews;2
Paris;2
Quénia;2
Polo de Inovação em Engenharia de Polímeros;2
Confibercom;2
Mafra;2
Lixa;2
Universidade de Lisboa;2
Faculdades de Letras;2
comunicação;2
Estudos Culturais;2
Índia;2
Instituto;2
Biossustentabilidade;2
Laboratório de o Paisagem;2
Município;2
GID;2
Complexo Pedagógico I;2
Biomédica;2
Estremadura;2
Carolina Rodrigues;2
Pessoa;1
Irmãos Unidos;1
Rossio;1
Rebate;1
de Lisboa;1
