LOC;Oco
Universidade de o Minho;1132
Braga;553
Guimarães;374
em Portugal;339
Portugal;300
UMinho;299
Universidade;244
AAUMinho;184
Gualtar;163
Porto;129
Universidades;125
Lisboa;119
Azurém;118
Europa;108
Moçambique;108
universidade;99
FADU;94
SASUM;93
Minho;88
Bolonha;87
Governo;86
Coimbra;79
Escola;73
Ensino Superior;68
Desporto;67
RGA;64
Espanha;64
Valença;59
Largo de o Paço;54
Brasil;51
Inglaterra;51
Reitoria;49
Reitor;43
@UMdicas\;42
França;38
Gata;38
Taekwondo;36
Educação;33
Augustuna;31
E.R.;31
Centro de Informática;29
Universidade de o Porto;28
CAUM;28
EUA;28
Angola;28
China;27
RUM;26
Afonsina;25
campus de Gualtar;25
Reunião Geral de Alunos;25
Aveiro;24
Alemanha;24
<Miguel;24
Nampula;24
Tun’ao Minho;23
Reitor de o UMinho;23
Campus de Azurém;22
Eng;22
UMDicas;22
Covilhã;21
Lourenço Marques;21
Galiza;20
Londres;20
Instituto Confúcio;19
África;19
Praia;18
Bar;18
Gatuna;17
Câmara Municipal de Braga;17
Centro;17
Câmara Municipal;17
Bom Jesus;16
Theatro Circo;16
UPorto;16
PRR;16
Caracol;16
Humanidades;16
AvePark;16
Ecoticket;16
Viana de o Castelo;15
Paris;15
UTAD;15
Engenharia;15
UMdicas-;15
Reitor de o Universidade de o Minho;14
Instituto de Ciências Sociais;14
Polónia;14
Universidade de Coimbra;14
Cidade Europeia de o Desporto;14
Sector;14
VL;14
Algarve;13
Reino Unido;13
Academia Minhota;13
Itália;13
Açores;13
Ciências Sociais;13
Instituto de Educação;13
COVID-19;13
Estados Unidos;13
Bélgica;13
Matemática;13
Faculdade de Filosofia;13
FITU Bracara Avgvsta;13
de Braga;12
AAUM;12
Universidade de Aveiro;12
Teatro Jordão;12
Ministério de o Ciência;12
Esposende;12
Holanda;12
Cultura;12
Bruxelas;12
Federação;12
Administração Pública;12
Couros;11
ICVS;11
Mesa de o Reunião Geral de Alunos;11
aAUMinho;11
Universidade Nova de Lisboa;11
Austrália;11
Cidade Berço;11
Mundo;11
Residências Universitárias;11
INL;11
futsal;11
UMd;11
Velório de o Gata;11
DGES;10
Rússia;10
África de o Sul;10
Barcelona;10
Cabido de Cardeais;10
Arqueologia;10
Gulbenkian;10
Norte;10
Mocidade Portuguesa;10
Vila Cabral;10
Gabinete;10
Portimão;10
Campus de Gualtar;10
s.B.;10
Escolas;9
Saúde;9
CP2;9
Bar Académico;9
BA;9
Conselho Geral;9
Gestão;9
Évora;9
Filosofia;9
Manchester;9
Tortosendo;9
Engenharia Biológica;8
Serenatas Velhas;8
Ciências;8
Biblioteca Pública de Braga;8
Biblioteca Pública;8
Câmara;8
Arraial Azeiteiro;8
SC Braga;8
Amarante;8
Cuba;8
Uminho;8
Arquivo Distrital de Braga;8
U.M.;8
Japão;8
Cidade;8
Alto Douro;8
Informática;8
Santa Tecla;8
Maputo;8
Fundação;8
UOEI;8
Fundação Pública de Direito Privado;8
SIGAQ-UM;8
Irlanda;8
Unidades Culturais;8
Cantina;8
Jogralhos;7
Mestrado;7
Barcelos;7
Teatro;7
Ministério;7
Pavilhão Desportivo;7
Covid-19;7
Instituto Confúcio de o Universidade de o Minho;7
Nova Iorque;7
Suíça;7
Vigo;7
Arquivo_UMSombra;7
Gerês;7
Universitária;7
Ciências de o Educação;7
Economia;7
Cabo Verde;7
Instituto;7
Nairobi;7
Quintas;7
Leuven;7
Taipas;7
Câmara Municipal de Guimarães;7
administração Pública;7
Baixo Minho;7
Croácia;7
Centros de Investigação;7
eEG-UMinho;7
UBI;7
Portuguesa;7
Instituição;7
Récita;7
MCTES;7
Centro Médico;7
Chinês;7
Ponte de Lima;6
CG;6
CEMP;6
Palestina;6
Estados Unidos de o América;6
ministério;6
Rádio Universitária de o Minho;6
Restaurante Panorâmico;6
México;6
Ambiente;6
Ucrânia;6
Engenharia Eletrónica Industrial;6
Faro;6
Ourense;6
Universidade de Lisboa;6
Israel;6
Hospital de Braga;6
Singapura;6
Rio de Janeiro;6
Instituto de Letras e Ciências Humanas;6
Ciências  Sociais;6
Guiné;6
Rodrigues;6
Moreira;6
Avenida de o Liberdade;6
Sé;6
Ministério de o Educação;6
Amares;6
CPII;6
Canadá;6
América;6
Economia Industrial;6
Sta Tecla;6
País;6
Viena;6
PE;6
ABC de Braga;6
Doutoramento;6
Macau;6
Turquia;6
Moscovo;6
Portugueses;6
Região;6
Investigação;6
Manutenção;6
DU;6
Internacionalização;6
Ásia;6
Provedor Institucional;6
escola;6
Cabido;6
ELSA Portugal;6
aEESECG;6
AEESECG;6
Azeituna;5
Ciência Política;5
Instituições de Ensino Superior;5
Salão Medieval;5
Jurisdicional;5
Ministério de o Saúde;5
Garagem Avenida;5
Campus;5
Tunão;5
Lusófonos;5
Biblioteca Lúcio Craveiro de o Silva;5
Áustria;5
Madeira;5
Nova de Lisboa;5
Rio;5
Museu Nogueira de o Silva;5
Avenida Central;5
Caldas de o Rainha;5
Paço de o Duques de Bragança;5
Finlândia;5
Instituto de francês;5
Liceu;5
Universidade de Lourenço Marques;5
Murta;5
Bilbau;5
Peixoto;5
Koryo;5
Edifício de o Congregados;5
Dep;5
Complexo Desportivo de Gualtar;5
azurém;5
Alojamento;5
R.I;5
praia;5
Setor de Património;5
Higiene;5
Europeus;5
GEOJUSTIÇA;5
Póvoa de Lanhoso;5
América de o Sul;5
CMEMS;5
Vila Nova de Gaia;5
Tunas;5
Região de o Conhecimento;5
Passadiço;5
I.S-;5
San Sebastian;5
depar;5
Grill;5
Geologia;5
Estudos Portugueses;4
Estudos Culturais;4
ComUM;4
Vila Real;4
Universidade de Évora;4
Engenharia Aeroespacial;4
Território;4
Roménia;4
Engenharia Têxtil;4
Hannover;4
Feedzai;4
Hospital;4
Guarda;4
Vila Nova de Famalicão;4
Parque de Exposições de Braga;4
Santiago de Compostela;4
Bamboo;4
Madrid;4
Línguas Estrangeiras Aplicadas;4
Estudos Ingleses;4
Oeiras;4
Europa Central;4
Pinhal;4
Beira;4
Douro;4
Rua de o Castelo;4
Centro   de Informática;4
centro;4
Fafe;4
Rua Bernardo Sequeira;4
Timor;4
matemática;4
Pavilhões Verdes;4
ciência;4
Largo de o  Paço;4
Pavilhão;4
Usem;4
Setor de Apoio clínico;4
Setor de Bolsas;4
Utentes;4
gabinete;4
Dinamarca;4
Berlim;4
SRH;4
Excelente;4
TUTORUM;4
Vila Verde;4
Augusta;4
Geojustiça;4
Guimaraes;4
Ecofoot;4
Avepark;4
GA;4
Pólo Aquático;4
Universidades de o País;4
Rádio Universitária;4
Capital Verde Europeia;4
Índia;4
Eslováquia;4
Município;4
Universidade de o Beira Interior;4
Universidades Portuguesas;4
Centros;4
Eslovénia;4
Danças Africanas;4
J.F-;4
Sede;4
Instituto de Educação e Psicologia;4
Região Digital;4
Saídas profissional;4
Banguecoque;4
Pequim;4
Dubai;4
Bares;4
Bar de o Grill;4
Monte Branco;4
Chamonix;4
Famalicão;3
Póvoa de o Varzim;3
Instituto Português de o Desporto;3
Lucas Rodrigues;3
Lamego;3
Sameiro;3
Santa Luzia;3
Mesa de o RGA;3
Tânia;3
Medicina;3
PREVPAP;3
Paredes de Coura;3
Campus de Couros;3
