Galiza,37
Pessoa,1
Consello de Cultura Galega,2
Lisboa,24
Irmãos Unidos,1
Rossio,1
em Portugal,39
Consello de o Cultura Galega,3
Guisado,4
Pazos,3
Rebate,1
de Lisboa,1
Câmara Municipal de Lisboa,1
Benfica,1
Mondariz,1
Castelao,1
Portugal,54
Universidade de São Paulo,1
Brasil,17
Porto,6
Redondela,2
Ciências de o Cultura por o,1
Universidade de Alcalá,1
Universidade de o Porto,4
Filologia Galega,1
Filologia Portuguesa,2
Universidade de Santiago de Compostela,2
Espanha,9
Eixo Atlântico,1
CE,2
Sul-Norte,1
CECOTRAN,1
Iacobus,1
INL,2
Laboratório Internacional de Nanotecnologia,1
Euro-cidades Chaves-Verín,1
Tui-Valença,1
Universidade de o Minho,30
Minho,10
Komano,1
Via Láctea,7
Santiago de Compostela,4
Kanazawa,1
Aichi Prefectural,1
Japão,4
Sul,2
Braga,40
Nagoya,1
Centro de Línguas BabeliUM,1
de o Japão,1
Mosteiro de Tibães,1
Kumano,1
Ise,1
UMinho,30
Center ser Cultural Resource Studies,1
Ulara Tamura,1
Educação,3
Guimarães,33
Palácio Vila Flor,4
AFUM,10
Azurém,24
Queimada Viva,1
praia,1
Galegos,1
Norte de Portugal,2
Instituto de Letras e Ciências Humanas de o UMinho,1
Casa Museu Rosalía de Castro,1
Mosteiro de Santa María de Oia,1
Valga,1
Norte,6
Galego,2
Rádio Universitária de o Minho,2
Bielorrússia,1
Milladoiro,1
Vilalba,1
Lugo,2
Mondoñedo,1
USC,1
Faculdade de Geografia e História,1
Hispania,1
Inglaterra,5
Itália,6
História,1
Trás-os-Montes,1
Instituto Internacional de o Casa de Mateus,1
Vila de o Conde,3
Largo de o Paço,8
Arcos de Valdevez,1
Ponte de o Barca,1
BA Vidro,1
Governo,2
Departamentos,1
CCDR-N,1
Angola,18
Moçambique,8
Centro de Línguas Modernas de o Universidade de Santiago de Compostela,1
País Basco,1
Catalunha,1
França,7
Instituto Camões,1
Extremadura,1
Vilar de Infesta,1
Pontevedra,1
Valença,1
Cerveira,1
Melgaço,2
Cabo Verde,4
Xurxo,1
Galheiro,1
Sárdoma,1
Universidade de Vigo,1
Celta de Vigo,1
Fuxan,1
Ventos,1
Resonet,1
Aloia,1
Ruca,1
Austrália,4
Sesimbra,2
Departamento Pedagógico de o Associação Académica,1
Melbourne,1
Vitória,1
Reino Unido,10
Arábia Saudita,1
Finlândia,1
EUA,23
Braga romano,1
Biblioteca Pública,3
Arquivo Distrital,2
Museu de o Biscainhos,1
Museu Nogueira de o Silva,3
Espaço Ondina Braga,1
Casa Museu de Monção,1
Paço de o Duques de Bragança,1
Museu Alberto Sampaio,1
Biblioteca Lúcio Craveiro de o Silva,3
Reitoria,11
Museu de Arqueologia D. Diogo de Sousa,1
Instituto Confúcio,2
Paço de o Duques,2
RUM,1
Orquestra de o UMinho,5
Biscainhos,1
Santa Cruz,1
Torres Vedras,2
Ribatejo,1
Torres Novas,1
A.C.D. Milharado,1
Instituto de Educação,4
Centro de Formação de Professores e Educadores de Infância,1
Edifício de o Congregados,2
Fundação Calouste Gulbenkian,4
Guiné,1
S. Tomé e Príncipe,1
São Tomé e Príncipe,1
Estação de caminhos-de-ferro,1
Residências Universitárias,1
Unidades Orgânicas de Ensino e Investigação de o UMinho,1
Instituto de Educação e Psicologia,3
Gualtar,12
Instituto de Ciências Sociais,5
Administração Pública,1
Viena,5
Grand Canyon,1
Europa,15
China,3
Ucrânia,4
Arquitetura,1
Ciências Sociais,4
de São Paulo,1
Luanda,2
BAEI,1
Complexo Pedagógico II,1
Gabinete,2
GPI,3
Monte Gordo,1
Algarve,4
Chiado Editora,1
Penacova,1
Coimbra,2
Curso Geral de Comércio,1
Círculo,2
Universidade de Lourenço Marques,5
Silvéria,1
Ministério de o Educação,2
ministério,1
Polícia de Braga,1
Olhe,2
Salão Medieval,1
Rua de o Souto,2
Bom Jesus,2
Avenida Central,1
Lourenço Marques,3
Universidade,8
Ministério de Educação,1
Ministério de o negócio estrangeiro,1
Canela,1
Interior,1
Lamaçães,1
Santa Tecla,1
rodovia,1
Sameiro,1
Universidades Novas,1
Aveiro,2
Évora,1
ISCTE,1
professora de o Departamento de História de o Instituto de Ciências Sociais de o UMinho,1
Estudos Gerais Universitários de Moçambique,2
ULM,1
UNL,3
Faculdade de Ciências de o Universidade Nova,1
Politécnico de Faro,1
Universidade de o Algarve,1
África de o Sul,1
Instituto de Alta Cultura,1
ex-Instituto Nacional de Investigação Científica,1
Estrasburgo,2
Manchester,2
Cambridge,1
Centro de Pesquisa de Energia Atómica,1
