ORG;Oco
AAUM;578
ComUM;176
Academia;167
Associação Académica;141
Conselho Geral;125
Associação Académica de o Universidade de o Minho;76
CFJ;72
Departamento Alimentar;64
Departamento;63
CG;57
Tuna;57
Licenciatura;52
UMinho?;51
serviço;48
DAF;48
TUM;46
RUM;44
Academia?;42
Serviços de Acção Social;39
Conselho Cultural;39
Bomboémia;38
TUTORUM;38
AAEUM;36
Bosch;35
SAS;35
GSI;35
EUSA;34
Universidade?;33
Serviços de Acção Social de o Universidade de o Minho;33
FCT;32
ISO;32
Serviços;31
AAUM?;31
Escola de Engenharia;30
Azeituna;30
Provedor de o Estudante;30
Gatuna;29
Serviços de Ação Social;28
Taekwondo;28
ICS;28
Reitoria;27
Ordem;26
GMP;26
ECS;26
Conselho Fiscal e Jurisdicional;25
ILCH;24
FISU;24
SDUM;24
Tuna Universitária de o Minho;23
Escola de Economia e Gestão;23
Escola;23
Desporto Universitário;23
Comunidade Académica;23
Academia Minhota;22
União Europeia;22
Departamento Alimentar?;22
Engenharia;21
ABC;21
Escola de Ciências de o Saúde;21
Relações Internacionais;20
RJIES;19
Centro de Informática;19
FADU;19
Departamento de Apoio Social;19
Associação académica de o Universidade de o Minho;18
Departamento de Informática;18
*Clube de o coração?;18
GRI;18
RGA;17
Campeonatos Nacionais Universitários;17
Escola de Medicina;16
Juventude;16
Escola de Direito;16
Escola de Ciências;16
Grupo de Música Popular;16
Gestão;16
LCC;16
Provedor;16
Alumni;16
Ordem Profética;16
FITU;15
Comissão Eleitoral;15
associação Académica;14
Comissão Europeia;14
Associação;14
Serviços Académicos;14
Empresa;14
OE;14
Comité Organizador;14
Braga;13
ESE;13
Conselho;13
U.M.;13
ESA;13
Federação Portuguesa de Futebol;12
CRUP;12
Federação Académica de o Desporto Universitário;12
Fundo Social de Emergência;12
ESN;12
Betweien;12
Departamento Desportivo;12
ESI;12
Estatutos;12
ComUM Online;11
Serviços de Ação Social de o Universidade de o Minho;11
ADAUM;11
Grupos Culturais;11
FEUP;11
CI;11
Europeu Universitário;11
GFUM;11
Gestão Industrial;10
Conselho Geral de o UMinho;10
CAUM;10
Departamento Social;10
direito;10
Grupo de Poesia;10
Instituições de Ensino Superior;10
INL;10
conselho;10
CNU;10
CC;10
AF;10
CNO;10
IC;10
Google;9
EEUM;9
Cruz Vermelha;9
Escola de Psicologia;9
Departamento Desportivo e Cultural;9
ASPA;9
Europeu;9
UE;9
Departamento Administrativo;9
Eng;9
Grupo;9
OPUM DEI;9
Universiadas;9
Serviços de Documentação;9
Comissões Especializadas;9
Namge;9
NITERUM;9
PRR;8
Fundação para a Ciência;8
Escola Superior de Enfermagem;8
Conselho Geral de o Universidade de o Minho;8
Direito;8
Escola de Enfermagem;8
Conselho de Gestão;8
Unidades Orgânicas;8
A3ES;8
Andebol;8
Financeiro;8
Setor de Recursos Humanos;8
FUMP;8
Basquetebol;8
Reitoria?;8
FPF;8
Departamento Contabilístico e Financeiro;8
Universidade de Yôga;8
AR;8
UMIC;8
BG;8
Grupo de Fados e Serenatas de o Universidade de o Minho;7
Andy Student Living;7
Marinha;7
Estado Novo;7
SNESup;7
Associação Recreativa e Cultural Universitária de o Minho;7
Gabinete de Apoio;7
Engenharia de Sistemas e Informática;7
Cortejo Académico;7
de o Weasel;7
Companhia de Jesus;7
Comissão;7
INESC;7
Capital Europeia de o Cultura;7
Agência de Avaliação e acreditação de o Ensino Superior;7
Sucesso Desportivo;7
Gabinete de o Empreendedor;7
Escola de Arquitetura;7
Tuna de Medicina de o Universidade de o Minho;7
Departamento Administrativo e Financeiro;7
MIT;7
Conselho Cultural de o Universidade de o Minho;7
Conselho Geral de o Universidade;7
Gabinete de o Administrador;7
Departamento Alimentar de o SASUM;7
Ordem Profética de o Universidade de o Minho;7
Núcleo;7
Dep;7
RR;7
TA;7
Educação Física;6
Regime Jurídico de o Instituições de Ensino Superior;6
Fundo de Apoio Social;6
Assembleia de o República;6
MIA;6
EPsi;6
associação académica de o Universidade de o Minho;6
Escola de Letras;6
ELACH;6
RTP;6
Jesuítas;6
Electrónica;6
Economia;6
Comissão Instaladora;6
IEC;6
Núcleo de Informática;6
IBM;6
empreendedorismo;6
Federação Académica de Desporto Universitário;6
Gabinete de Sistemas de Informação;6
serviços;6
DMA;6
Marketing;6
Departamentos;6
CG?;6
Conselho de Ética;6
UBI;6
Amazon;6
Departamento de Desporto e Cultura;6
DAS;6
Unidade;6
Tutorum?;6
Comissão de Residentes;6
LUF;6
Assembleia Estatutária;6
Altice Forum Braga;5
Tuna de Engenharia de o Universidade de o Minho;5
Escola de Medicina de o Universidade de o Minho;5
CPLP;5
DGES;5
Reitoria de o Universidade de o Minho;5
Ação Social Escolar;5
Congregados;5
André Igreja;5
Artes e Ciências Humanas;5
Ordem de o Advogados;5
Podia;5
Academia Minhota?;5
25 de Abril;5
Universidade;5
