ORG;Oco
CVR;11
Google;9
UMinho?;7
ePsi;7
ICS;7
USC;6
Escola de Engenharia;6
Accenture;6
FCT;6
Reitoria;5
IEP;5
FCLB;5
ISET;5
Ciências de o Comunicação;5
EPsi;5
ILCH;4
Escola de Ciências;4
CEG;4
União Europeia;4
Escola de Psicologia;4
Instituto Superior Técnico;4
Universidade Católica;4
CEHUM;3
Serviços de Ação Social;3
CCDR-N;3
Relações Internacionais;3
GPI;3
Círculo Universitário;3
Universidade de Manchester;3
25 de abril;3
Associação de Psicologia;3
FLAD;3
PT;3
Academia;3
CBMA;3
Departamento de Estudos Românicos de o UMinho;2
Estado Novo;2
GALABRA;2
Real Academia Galega;2
Centro de Estudos Galegos;2
CEE;2
Associação de Funcionários de o UMinho;2
Xunta de Galicia;2
AAUM;2
Informática de Gestão;2
Sporting Clube de Portugal;2
Conselho Cultural de o UMinho;2
Orquestra de o UMinho;2
Associação Académica;2
IEC;2
Instituto de Estudos de o Criança;2
Círculo Universitário de Lourenço Marques;2
Revolução de Abril;2
25 de Abril;2
OCDE;2
Banco Mundial;2
Ordem de o Engenheiros;2
SDUM;2
Instituto Politécnico de Faro;2
Escola de Arquitetura de o UMinho;2
Academia de Música Valentim Moreira de Sá;2
Associação de Funcionários;2
Universidade de o Nações Unidas;2
AMA;2
Departamento de Engenharia Civil;2
Agilent;2
Escola de Economia e Gestão;2
Manchester Business School;2
BBC;2
ETA;2
MIT;2
Fundação para a Ciência;2
centro de Estudos de Comunicação e Sociedade;2
Departamento de Ciências Sociais;2
Greenpeace;2
COMPOLIS;2
Gabinete de o Instalações Definitivas;2
Escola de Psicologia de o UMinho;2
Departamento de Psicologia;2
Academia para Perturbações Alimentares;2
CI;2
Departamento de Matemática e Aplicações;2
Centro de Estudos Humanísticos;1
Centro de Estudos Humanísticos de o UMinho;1
Grupo de Estudos de o Cultura;1
Assembleia de o República;1
Conselho Geral de o Juntas de Freguesia de Lisboa;1
Partido Republicano;1
Associação de Agricultores de Pías;1
Área de Estudos Espanhóis;1
Hispano-Americanos de o Departamento de Estudos Românicos;1
Grupo de Estudos de o Cultura de o USC;1
Comunidade de Trabalho Galiza-Norte de Portugal;1
Conselho Intersindical G-NP;1
Fundação CEER;1
Agrupamento Europeu de Cooperação Territorial G-NP;1
Plano de Investimentos Conjuntos;1
Cooperação Transfronteiriça de Terceira Geração;1
Agência Executiva de o Educação de o Audiovisual;1
Cultura de o Comissão Europeia;1
Instituto de Letras e Ciências Humanas;1
Companhia de Teatro de Braga;1
UMinho*;1
International Student Center;1
Organization of Global Affairs;1
Escola Secundária Francisco de Holanda;1
Ciências de Engenharia;1
Departamento de Engenharia Mecânica;1
CCE;1
Conselhos de Cursos;1
Conselho Pedagógico de o Escola de Engenharia;1
Escola de Arquitetura;1
Futebol Clube de o Porto;1
Centro de Estudos Galegos de o UMinho;1
Uxía;1
Área de Estudos Espanhóis de o UMinho;1
Universidade Internacional Menéndez Pelayo;1
Engenharia Metalomecânica;1
Comissão de Coordenação e Desenvolvimento Regional de o Norte;1
Pink Floyd;1
Memorando de Entendimento;1
parlamento;1
CPLP;1
Galego e Português;1
Associação de Docentes de Português;1
Sepultura;1
**Accenture**;1
Tecnologias de Informação;1
Grupo de Poesia de o UMinho;1
VianaVocale;1
Academia de Música de Viana de o Castelo;1
