PER;Oco
Ana Marques;151
Rui Vieira de Castro;96
Margarida Isaías;92
Prof;74
ARCUM;71
FADU;63
Nuno Gonçalves;61
Duarte Lopes;36
Muffin;33
Carlos Silva;31
António Cunha;28
Rui Oliveira;28
Luís Pereira;27
Marta Rodrigues | ComUM;24
D. Pedro V;23
Joana Oliveira;21
Manuel Heitor;20
Afonsina;20
Proença;20
Sónia Fernandes;19
Weadapt;19
António Paisana;17
Maria Francisca Barros;16
Nuno Reis;16
Carlos Videira;16
Lloyd Braga;16
Francisco Silva;15
Elisa Siquara I ComUM;15
Hélder Matos;14
L. G.;14
João Monteiro;13
David Ribeiro;13
Machado de o Santos;13
CPC;13
José Diogo Soares;12
Pedro Antunes;12
Miguel Lima;12
Falcão;12
TUTORUM;12
AP;12
Michael Ribeiro;12
T.M.;12
Celeste Pereira;11
Gabriel Oliveira;11
Gatuna;11
Trovas;11
Romero;11
Lourenço Marques;11
Eng;11
José Fernandes;11
Inês Batista;10
Maria;10
Gabriel Castro;10
Rúben Monteiro;10
Jéssica Machado I ComUM;10
Jorge Silvério;10
Clara Calheiros;10
Joana Oliveira | ComUM;10
Helena;10
Fernando Parente;10
Profeta;10
Paulo Ferreira;10
J. S.;10
Jacinta Sampaio;9
Joana Marques Vidal;9
Veiga Simão;9
Miguel;9
Carlão;9
D.Pedro V;9
Pedro Henriques;9
Luís Rodrigues;9
Pedro Dias;9
Maria Carvalho;8
Margarida de o Silva Carvalho;8
Cláudia Matos;8
Prometeu;8
José Moreira;8
Gulbenkian;8
Mário Farelo;8
Cottinelli;8
Pina;8
Deus;8
I.M.;8
Ana Margarida Alves;7
Mariana Lopes;7
Covid-19;7
Guimarães Rodrigues;7
Bruno Alcaide;7
Ana Lopes;7
Papa;7
Sara Coutinho;7
Aprovisionamento;7
Cristina Sousa;7
Lurdes Conceição;7
Frei Bento Domingues;7
Sina;7
UMDicas;7
J.M.;7
Hélio Carvalho;6
Marta Ferreira;6
Rosa Vasconcelos;6
Bruno Dias;6
Daniela Amorim-;6
Abílio;6
Mário Martins;6
Castro;6
Barreiros Martins;6
Hélder Castro;6
Carla Martins;6
António M. Cunha;6
Segurança Alimentar;6
Sociedade Martins Sarmento;6
Ana Paula Machado;6
Fernanda Pereira;6
Fábio;6
Roque Teixeira;6
Sociedade;6
Reitor;6
J.F-;6
Manuel Mota;6
Fernando Ribeiro;6
Pedro Póvoa;6
Grill;6
Madalena Alves;6
Luciana Silva;6
João Barbosa;5
Nuno Sousa;5
Marisa Coelho;5
Engenharia Têxtil;5
Elvira Fortunato;5
Pedro Paredes;5
RGA;5
António Guimarães Rodrigues;5
António Costa;5
Paulo Cruz;5
Lloyd;5
Instagram;5
Rui Bragança;5
Lisa Gomes;5
Igor Fernandes;5
Nelson Martins;5
Rui Rodrigues;5
Micaela Vitullo;5
Inês Castro;5
Diogo Piçarra;5
Rui Veloso;5
Júnior;5
Daniela Agostinho;5
Margarida Lima;5
Livia;5
Física;5
D. Pedro V.;5
Cecília;5
Isabel;5
Jesus;5
Alberto Abreu;5
Susana Silva;5
Eduardo Rodrigues;5
Mariano Gago;5
Pinto & Costa;5
Filipa Oliveira;5
Nuno Costa;5
Paula Cristina Martins;5
Cecília Leão;5
Fernando C. Lapa;5
José Carlos Bragança;5
Excelente;5
Pedro Arezes;4
Ana Beatriz Ferreira;4
Débora Monteiro;4
Catarina Fernandes;4
João Pedro Quesado;4
Luís Valente de Oliveira;4
Joana Fraga;4
Alexandra Seixas;4
Luana Pereira;4
Domingos Bragança;4
Carina Ribeiro;4
Quim Barreiros;4
Vieira de Castro;4
Rui Castro;4
Daniel;4
Marta Rodrigues;4
António Vicente;4
Computadores;4
Fernando Mendes;4
Rafael Couto;4
Paulo Rodrigues;4
Sandra Vaz;4
Rita;4
Nuno;4
Yeats;4
Gulbekian;4
Cravo;4
Ciências Sociais;4
"-""O";4
Sá de Miranda;4
Sérgio Machado de o Santos;4
Michel;4
Rui Gomes;4
Treinador;4
ECAP;4
Apoio clínico;4
Carlos Alberto Videira;4
Isabel Rêgo;4
Guardo;4
Felisbela Lopes;4
Professora Auxiliar;4
CCDR-Norte;4
Lídia Parente;4
Tutorum;4
Diogo Branquinho;4
Álvaro Laborinho Lúcio;4
Hugo Serrão;4
Carlos Azevedo;4
Isabel Baião;4
JoAna Marques Vidal;4
Mariana Pinto;4
Jorge Braz;4
Ricardo Nora;4
Ministro Mariano Gago;4
Sónia;4
Sara Bernardo;4
Eng.º Carlos Silva;4
Primo Nebiolo;4
Hanban;4
Provedor de o Adepto;4
José Carvalho;4
Ana MArques;4
André Pinheiro;4
Catarina Silva;3
Paulo Costa;3
João Pedro Sousa;3
Lucas Rodrigues;3
Andy;3
Marlene Santos;3
Rodrigo;3
Pedro Soares;3
Fausto Pinto;3
Luís Amaral;3
Isabel Ermida;3
Luís Esteves;3
Luís;3
Filipa Martins;3
Sofia Lucas;3
Daniel Carvalho;3
Rui Ramos;3
Manuel João Costa;3
Maria Manuel Oliveira;3
Dias Sociais;3
