VERBOS;Oco
ter;7840
fazer;3717
poder;2544
haver;2326
ser;1377
estar;1345
dar;1265
dizer;1257
querer;1196
trabalhar;1083
vir;978
saber;968
passar;882
dever;878
conseguir;876
ver;775
ir;750
continuar;684
criar;670
existir;667
desenvolver;663
achar;657
gostar;649
ficar;644
pensar;625
começar;564
conhecer;563
deixar;544
permitir;519
realizar;510
acabar;490
levar;464
chegar;460
encontrar;457
procurar;457
ajudar;451
entrar;441
falar;434
tentar;428
esperar;397
acontecer;394
viver;390
considerar;372
promover;372
pretender;368
surgir;335
manter;332
participar;331
estudar;329
contar;327
melhorar;325
contribuir;325
organizar;324
garantir;320
sentir;303
receber;301
representar;298
reconhecer;290
envolver;282
apresentar;279
acreditar;279
assumir;279
constituir;274
referir;273
tomar;270
aumentar;268
decorrer;264
colocar;258
integrar;248
tornar;243
crescer;242
apoiar;241
abrir;240
seguir;239
perceber;231
marcar;231
prestar;225
resolver;223
aprender;223
definir;220
mudar;219
trazer;218
cumprir;217
destacar;217
caracterizar;216
voltar;212
iniciar;211
significar;206
acompanhar;206
partir;205
elevar;200
afirmar;199
sair;199
oferecer;198
servir;198
responder;197
preparar;191
assegurar;191
atingir;191
precisar;190
funcionar;188
ganhar;182
escolher;180
proporcionar;179
andar;178
exigir;173
terminar;170
associar;169
motivar;168
implementar;164
gerir;158
relacionar;154
correr;153
parecer;150
incluir;148
tocar;146
mostrar;146
decidir;146
olhar;145
entender;145
ligar;144
alcançar;144
construir;142
reforçar;142
nascer;142
concretizar;137
ultrapassar;137
aceitar;136
conciliar;135
disponibilizar;134
determinar;133
chamar;133
ouvir;131
obter;131
perder;130
treinar;130
aprovar;129
tratar;129
praticar;129
tirar;128
partilhar;127
prever;127
resultar;126
avançar;124
obrigar;124
demonstrar;122
desempenhar;120
formar;119
coordenar;119
utilizar;118
defender;118
ocupar;117
dirigir;115
visar;114
aproveitar;112
depender;112
faltar;111
avaliar;110
lançar;110
respeitar;109
concorrer;108
compor;106
consolidar;106
usar;105
lidar;105
explicar;104
revelar;104
estabelecer;103
liderar;103
juntar;102
