VERBOS;Oco
ter;319
haver;161
fazer;158
poder;124
trabalhar;85
vir;70
dar;58
ser;56
permitir;51
ver;51
passar;50
conhecer;49
estar;48
dizer;46
dever;46
começar;45
gostar;42
desenvolver;42
querer;41
criar;40
pensar;39
saber;39
acabar;38
chegar;37
ir;37
continuar;37
viver;37
levar;31
estudar;31
deixar;31
ficar;30
acontecer;28
falar;28
surgir;27
achar;27
integrar;26
aprender;26
considerar;24
voltar;23
contribuir;22
nascer;22
participar;22
realizar;21
assumir;21
conseguir;21
afirmar;20
receber;20
ajudar;20
sentir;20
entrar;20
lançar;19
crescer;19
envolver;19
seguir;18
promover;18
acrescentar;18
procurar;18
encontrar;18
definir;17
convidar;17
colocar;17
avaliar;17
ligar;17
partir;16
ingressar;16
existir;16
aplicar;16
tornar;16
perceber;15
marcar;15
dedicar;15
pretender;15
iniciar;14
decidir;14
contar;14
assegurar;14
abrir;14
reconhecer;14
revelar;14
formar;14
incluir;14
resolver;14
colaborar;13
adquirir;13
referir;13
acreditar;13
manter;13
mudar;13
destacar;13
responder;13
decorrer;13
apoiar;12
melhorar;12
frequentar;12
esperar;12
servir;12
usar;12
parecer;12
entender;11
aumentar;11
perder;11
reduzir;11
andar;11
precisar;11
tentar;11
apresentar;11
funcionar;11
prestar;11
associar;11
constituir;11
obter;10
tratar;10
ganhar;10
presidir;10
praticar;10
trazer;10
depender;10
tomar;10
representar;10
organizar;10
implementar;10
mostrar;10
preparar;10
oferecer;10
propor;10
sair;9
atingir;9
crer;9
acompanhar;9
reforçar;9
lecionar;9
terminar;9
partilhar;9
descobrir;9
defender;9
construir;9
chamar;9
elevar;9
apostar;9
concluir;9
garantir;9
relacionar;9
gerar;9
imaginar;8
recordar;8
explicar;8
coordenar;8
aceitar;8
ocupar;8
refletir;8
facilitar;8
interagir;8
tender;8
comparar;8
avançar;8
produzir;8
basear;8
juntar;7
realçar;7
financiar;7
fomentar;7
conciliar;7
pedir;7
esquecer;7
celebrar;7
aparecer;7
valorizar;7
determinar;7
regressar;7
fechar;7
aproveitar;7
tirar;7
guardar;7
orientar;7
ouvir;7
tocar;7
prever;7
publicar;6
frisar;6
exercer;6
abordar;6
resultar;6
visar;6
potenciar;6
variar;6
desempenhar;6
ensinar;6
identificar;6
correr;6
viajar;6
atribuir;6
implicar;6
significar;6
focar;6
sugerir;6
vencer;6
consistir;6
olhar;6
ler;6
apreciar;6
confessar;6
sonhar;6
influenciar;6
aprovar;6
descrever;6
lembrar;6
pôr;6
instalar;6
cumprir;6
alargar;6
sofrer;6
especializar;6
licenciar;5
proporcionar;5
consolidar;5
jogar;5
merecer;5
evoluir;5
caber;5
respeitar;5
testar;5
pagar;5
interessar;5
limitar;5
concorrer;5
alcançar;5
diversificar;5
privilegiar;5
motivar;5
acolher;5
admitir;5
corresponder;5
custar;5
adorar;5
optar;5
compor;5
alterar;5
necessitar;5
inaugurar;5
investigar;5
mobilizar;5
sublinhar;5
utilizar;5
caminhar;5
lidar;5
distinguir;5
adotar;5
vejor;5
assinalar;5
eleger;4
evocar;4
demonstrar;4
obrigar;4
rumar;4
ministrar;4
pertencer;4
construír;4
conduzir;4
afetar;4
eliminar;4
aproximar;4
demorar;4
suceder;4
aprofundar;4
cair;4
admirar;4
abraçar;4
dividir;4
suportar;4
substituir;4
otimizar;4
privar;4
beneficiar;4
sorrir;4
enfrentar;4
investir;4
desenhar;4
matar;4
vestir;4
escolher;4
progredir;4
dormir;4
sedear;4
auxiliar;4
contactar;4
registar;4
nomear;4
condicionar;4
fundar;4
concretizar;4
provocar;4
trocar;4
comprar;4
exigir;4
estimular;4
justificar;4
confirmar;4
planear;4
adaptar;4
conceber;4
articular;4
apontar;4
controlar;4
editar;3
sensibilizar;3
acolhir;3
doutorar;3
acrescer;3
estreitar;3
salientar;3
disponibilizar;3
prosseguir;3
compensar;3
sustentar;3
propiciar;3
estabelecer;3
sintar;3
valer;3
acelerar;3
cativar;3
dominar;3
ouver;3
interromper;3
recrutar;3
direcionar;3
transmitir;3
rodear;3
transportar;3
guiar;3
perseguir;3
acarretar;3
ultrapassar;3
discutir;3
comprometir;3
assistir;3
adormecer;3
favorecer;3
impedir;3
autorizar;3
atrair;3
citar;3
surpreender;3
distribuir;3
providenciar;3
costumar;3
comer;3
escrever;3
descontrair;3
medir;3
retirar;3
montar;3
desconhecer;3
anular;3
elaborar;3
sucedir;3
rondar;3
gerir;3
permanecer;3
leior;3
concebir;3
sediar;3
reunir;3
explorar;3
deitar;3
divulgar;3
diferenciar;3
traçar;3
fornecer;3
falhar;3
incrementar;3
renovar;3
lavar;3
agradar;3
comprometer;3
materializar;3
reager;3
observar;3
inserir;3
emigrar;3
ousar;3
assinar;2
contextualizar;2
cruzar;2
atuar;2
conquistar;2
elogiar;2
secundarizar;2
incluír;2
dirigir;2
intensificar;2
requerer;2
incentivar;2
recusar;2
insistir;2
conviver;2
possuir;2
unir;2
devolver;2
orgulhar;2
morrer;2
recomendar;2
afastar;2
educar;2
rejeitar;2
processar;2
julgar;2
esconder;2
cometer;2
resistir;2
superar;2
Frequentar;2
contratar;2
acarinhar;2
convencer;2
remunerar;2
combinar;2
ambicionar;2
alinhar;2
comprovar;2
reconhecir;2
temer;2
antecipar;2
rodeiar;2
programar;2
culminar;2
estabelecir;2
subir;2
deter;2
enveredar;2
aguentar;2
treinar;2
perspetivar;2
somar;2
colabor;2
comentar;2
adiar;2
retomar;2
projetar;2
verificar;2
bastar;2
exiger;2
minimizar;2
auscultar;2
facultar;2
calcular;2
interferir;2
pesquisar;2
almoçar;2
parar;2
apertar;2
Acontecer;2
atender;2
destinar;2
informar;2
possibilitar;2
jantar;2
aconselhar;2
perguntar;2
encerrar;2
separar;2
dormer;2
mover;2
ensaiar;2
pegar;2
mencionar;2
buscar;2
regar;2
durar;2
conhecir;2
suprimir;2
perpassar;2
falecer;2
transformar;2
faltar;2
mitigar;2
regiar;2
declarar;2
render;2
honrar;2
modernizar;2
competir;2
fortalecer;2
desistir;2
casar;2
residir;2
percorrer;2
aperfeiçoar;2
adquirer;2
emocionar;2
ilustrar;2
analisar;2
idealizar;2
contrariar;2
revestir;2
reagir;2
lutar;2
travar;2
arriscar;2
desvanecer;2
satisfazr;2
conversar;2
restar;2
aspirar;2
cobrir;2
arrancar;2
caracterizar;2
atualizar;2
usufruir;2
despertar;2
aliar;2
adiantar;2
efetuar;2
experimentar;2
dependir;2
rever;2
cozinhar;2
tencionar;2
veer;2
ouçor;2
notar;2
encarar;2
retardar;2
defendir;2
duplicar;2
estagiar;2
fizer;2
importar;2
misturar;2
acumular;2
preocupar;2
evitar;2
inspirar;2
fascinar;2
colecionar;2
posicionar;2
comemorar;2
divertir;2
houver;2
ignorar;2
exprimir;2
gravar;2
emergir;2
evidenciar;2
edificar;2
senter;2
conjugar;2
expressar;2
reutilizar;2
anunciar;2
operar;2
recorrer;2
vier;2
contribuír;2
comandar;2
fugir;2
escapar;2
inovar;2
ajustar;2
revolucionar;2
ordenar;2
enobrecer;1
multifacetar;1
intervir;1
vincar;1
espelhar;1
prender;1
pisar;1
poetar;1
apaixonar;1
navegar;1
resumir;1
pós-graduar;1
decair;1
denominar;1
imergir;1
situar;1
englobar;1
calcorrear;1
acertar;1
desejar;1
indicar;1
secretariar;1
administrar;1
encaixar;1
cansar;1
puxar;1
reser;1
Trabalhar;1
Ouvir;1
apercebar;1
copromover;1
atraiar;1
for;1
agrar;1
preferir;1
denunciar;1
negar;1
escutar;1
lir;1
tir;1
pesar;1
dir;1
pensasr;1
trar;1
amer;1
mestrar;1
revisitar;1
morar;1
Haver;1
furtar;1
Passar;1
apliquar;1
encher;1
reconduzir;1
deixer;1
qualificar;1
costumer;1
aliciar;1
criticar;1
Faltar;1
lamentar;1
disparar;1
advir;1
trajar;1
enquadrar;1
impactar;1
maximizar;1
alavancar;1
parafrasear;1
publicitar;1
adquir;1
lider;1
deparar;1
prepara-teir;1
moldar;1
comeceir;1
fumar;1
imbricar;1
configurar;1
promovir;1
rechear;1
Despertar;1
agarrar;1
impeçer;1
repetir;1
competer;1
tremer;1
rolar;1
lanchar;1
adequar;1
estabilizar;1
testemunhar;1
originar;1
alocar;1
obriga-nor;1
prefirar;1
beber;1
meter;1
cortar;1
alimentar;1
esmorecer;1
confinar;1
candidatar;1
pecar;1
remetir;1
questionar;1
intitular;1
personalizar;1
classificar;1
regulamentar;1
julguar;1
virar;1
habituar;1
par;1
recolher;1
confrontar;1
fornecir;1
constar;1
zelar;1
possuír;1
desvendar;1
vinhr;1
mandar;1
bater;1
jogávar;1
cantávar;1
cantar;1
alugueer;1
arregaçar;1
interpelar;1
aparecir;1
organizávar;1
assar;1
fumegar;1
atrevar;1
sentar;1
abafar;1
proteger;1
alojar;1
acomodar;1
revivir;1
expor;1
Possuir;1
equipar;1
server;1
orçar;1
ladear;1
oferecir;1
conturbar;1
conserr;1
revezar;1
apelidar;1
esticar;1
completariar;1
catalisar;1
colar;1
diligenciar;1
trazir;1
prevalecer;1
levedar;1
entrelaçar;1
alicerçar;1
delegar;1
entusiasmar;1
constatar;1
Considerar;1
realizár;1
aluder;1
prestigiar;1
ameaçar;1
brincar;1
chamávar;1
arranjar;1
concernir;1
Criar;1
instituir;1
Atribuir;1
enaltecer;1
aludir;1
admireer;1
Recuperar;1
atribuír;1
Esperar;1
derrubar;1
ferir;1
aterrar;1
trabalhávar;1
almoçávar;1
abandonar;1
envolvar;1
difundir;1
espacializar;1
diagnosticar;1
delgar;1
cevar;1
codirigir;1
comungar;1
Ingerir;1
puser;1
entretar;1
cedir;1
embalar;1
licencieer;1
Dedicar;1
executar;1
ambicionor;1
dotar;1
ceder;1
consumir;1
redobrar;1
induzir;1
reinventar;1
rentabilizar;1
desprezar;1
isolar;1
elucer;1
inclinar;1
vingar;1
retocar;1
fitar;1
silabar;1
estalar;1
fingir;1
concluír;1
engrandecer;1
agradeçar;1
liderar;1
coabitar;1
expuser;1
solicitar;1
dedicor;1
absorver;1
bombardear;1
Inaugurar;1
puder;1
retratar;1
reformular;1
iludir;1
estipular;1
retribuir;1
convocar;1
Fazer;1
consigar;1
Levar;1
atraer;1
amplificar;1
reconverter;1
encurtar;1
explicitar;1
inscritar;1
inscazrr;1
estruturar;1
moderar;1
espalhar;1
saír;1
centrar;1
batizar;1
pultrudir;1
creer;1
saltar;1
concordar;1
socializar;1
assimilar;1
descongelar;1
dedicer;1
adicionar;1
reviver;1
namorar;1
reencontrar;1
vendir;1
localizar;1
cozer;1
avistar;1
inquirir;1
compreender;1
averiguar;1
manifestar;1
habitar;1
atrasar;1
esclarecer;1
acordar;1
quer;1
refirer;1
dispor;1
Apoiar;1
complementar;1
agir;1
sedimentar;1
prolongar;1
concentrar;1
scholar;1
internacionalizar;1
argumentar;1
desenvolvir;1
Licenciar;1
desincentivar;1
praxar;1
impulsionar;1
emitir;1
introduzir;1
proponhar;1
grar;1
consider;1
detectar;1
prejudicar;1
recorrar;1
desconstruir;1
entrevistar;1
invadir;1
satisfazer;1
entenderr;1
empenhar;1
distanciar;1
Limitar;1
prosper;1
prosperar;1
generalizar;1
concedir;1
exagerar;1
visitar;1
validar;1
sofisticar;1
conduzer;1
ombrear;1
vocacionar;1
volver;1
cor;1
conferir;1
resumer;1
assobiar;1
repreendir;1
quebrar;1
pontificar;1
cancelar;1
ecoar;1
mantiver;1
vivenciar;1
impor;1
vislumbrar;1
submetir;1
encadear;1
exilar;1
comprometerar;1
traduzer;1
globalizar;1
policentrar;1
polifacetar;1
mexer;1
convertir;1
supor;1
conduzar;1
descolar;1
legitimar;1
sustir;1
forçar;1
pronunciar;1
causar;1
marginalizar;1
excluír;1
colorir;1
Ficar;1
conter;1
continuásser;1
aferer;1
desencadeiar;1
enviar;1
sujeitar;1
estimar;1
homenagear;1
datilografar;1
Voltar;1
piscar;1
agitar;1
desligar;1
monitorizar;1
estrear;1
interpretar;1
encenar;1
visualizar;1
reportar;1
graduar;1
aguardar;1
expandir;1
continuarer;1
alavancariar;1
Existir;1
escolhir;1
contemplar;1
inferir;1
atenuar;1
puner;1
revoltar;1
comprir;1
atalhar;1
traduzir;1
têr;1
sobrar;1
acentuar;1
enriquecer;1
cultivar;1
escavar;1
findar;1
esgotar;1
adoecer;1
redescobrir;1
renascer;1
Ser;1
cumprer;1
recomeçar;1
Resistir;1
singrar;1
desvalorizar;1
afunilar;1
apetecer;1
vistar;1
carregar;1
apagar;1
exerçor;1
desaparecer;1
disfrutar;1
circundar;1
aperceber;1
Trazer;1
diminuir;1
Explorar;1
incider;1
envoler;1
preconizar;1
Desenvolver;1
amadurecer;1
desperceber;1
trilhar;1
refazer;1
calhar;1
estaríar;1
exportar;1
exemplificar;1
remontar;1
coincidir;1
decorar;1
perfurar;1
descendir;1
autoclassificar;1
rebater;1
proíber;1
sequenciar;1
inesperar;1
tardar;1
descender;1
provar;1
reconstruir;1
convergir;1
mergulhar;1
extrair;1
consultar;1
priorizar;1
temperar;1
filtrar;1
entregar;1
alertar;1
intercetar;1
destruir;1
modelar;1
prometer;1
democratizar;1
colmatar;1
invester;1
inventar;1
