Capitulo;Positivas;Negativas;Total;Negativas_Ajustadas;Analise_de_Sentimentos;Analise_Sent_Cm2;Analise_Sent_Pals_Mil
0;10;28;225;10,78;-0,78;-0,003466667;-3,47
1;228;424;4879;224,9468101;3,053189877;0,000625782;0,63
2;176;299;3699;158,6299439;17,37005607;0,004695879;4,7
3;152;366;4246;194,1757842;-42,17578421;-0,009933063;-9,93
4;163;304;3914;161,2826186;1,717381421;0,000438779;0,44
5;278;508;7257;269,5117442;8,488255796;0,001169665;1,17
6;252;493;6890;261,5537203;-9,553720261;-0,001386607;-1,39
7;234;356;4702;188,8704349;45,12956509;0,009597951;9,6
8;139;294;3306;155,9772693;-16,97726928;-0,00513529;-5,14
9;196;461;5497;244,5766025;-48,57660252;-0,00883693;-8,84
10;200;373;4780;197,8895287;2,110471284;0,000441521;0,44
11;157;262;3714;139,0001515;17,99984846;0,004846486;4,85
12;240;413;5859;219,1109259;20,8890741;0,003565297;3,57
13;143;241;3497;127,858918;15,14108198;0,004329735;4,33
14;135;251;3795;133,1642673;1,835732687;0,000483724;0,48
15;211;536;5472;284,3667222;-73,36672223;-0,013407661;-13,41
16;294;564;6989;299,2217003;-5,221700258;-0,000747131;-0,75
17;303;454;5869;240,862858;62,13714199;0,010587347;10,59
;3501;6599;0,53053493;3501;;;
